booking_sk,booking_id,passenger_sk,flight_sk,booking_date_sk,status_sk,has_unresolved_flight,has_unresolved_passenger
201,B1200,66,950,20250917,1,false,false
202,B1201,21,979,20260201,2,false,false
203,B1202,612,852,20250429,2,false,false
204,B1203,384,813,20250621,1,false,false
205,B1204,812,305,20250725,1,false,false
206,B1205,615,807,20251018,1,false,false
207,B1206,559,359,20250702,1,false,false
208,B1207,39,399,20250611,3,false,false
209,B1208,285,578,20250722,4,false,false
210,B1209,822,504,20251215,3,false,false
211,B1210,602,283,20260120,3,false,false
212,B1211,597,355,20250707,1,false,false
213,B1212,785,126,20250708,3,false,false
214,B1213,336,587,20250616,1,false,false
215,B1214,188,967,20250814,-1,false,false
216,B1215,671,406,20250808,2,false,false
217,B1216,243,238,20251209,1,false,false
218,B1217,73,92,20260319,2,false,false
219,B1218,479,484,20251113,3,false,false
220,B1219,974,966,20260215,2,false,false
221,B1220,561,178,20260404,3,false,false
222,B1221,101,429,20260306,1,false,false
223,B1222,514,981,20260330,3,false,false
224,B1223,756,56,20260409,-1,false,false
225,B1224,176,958,20251026,1,false,false
226,B1225,238,434,20260113,3,false,false
227,B1226,910,383,20250823,1,false,false
228,B1227,59,498,20251023,2,false,false
229,B1228,865,609,20260417,1,false,false
230,B1229,99,846,20260207,1,false,false
231,B1230,954,169,20250429,3,false,false
232,B1231,871,927,20260406,2,false,false
233,B1232,954,695,20251006,1,false,false
234,B1233,495,187,20250513,2,false,false
235,B1234,947,983,20251121,2,false,false
236,B1235,980,-1,20251223,3,true,false
237,B1236,514,333,20250705,1,false,false
238,B1237,755,318,20251116,-1,false,false
239,B1238,297,712,20251020,-1,false,false
240,B1239,211,488,20251117,2,false,false
241,B1240,123,873,20251231,1,false,false
242,B1241,229,889,20251216,1,false,false
243,B1242,594,36,20251201,2,false,false
244,B1243,656,446,20260122,2,false,false
245,B1244,388,824,20250818,1,false,false
246,B1245,140,201,20260417,-1,false,false
247,B1246,541,230,20260409,1,false,false
248,B1247,391,664,20250813,2,false,false
249,B1248,270,517,20260304,3,false,false
250,B1249,759,179,20250606,2,false,false
251,B1250,12,31,20260128,2,false,false
252,B1251,867,788,20250830,3,false,false
253,B1252,389,774,20250421,2,false,false
254,B1253,337,133,20260227,2,false,false
255,B1254,506,143,20250722,2,false,false
256,B1255,106,938,20250922,2,false,false
257,B1256,32,83,20250810,2,false,false
258,B1257,74,353,20250819,2,false,false
259,B1258,171,435,20251028,2,false,false
260,B1259,849,681,20260119,2,false,false
261,B1260,69,460,20260104,2,false,false
262,B1261,813,583,20251221,1,false,false
263,B1262,362,724,20250507,1,false,false
264,B1263,649,122,20260103,2,false,false
265,B1264,433,623,20260415,1,false,false
266,B1265,929,976,20250806,3,false,false
267,B1266,996,866,20260116,1,false,false
268,B1267,100,476,20250521,2,false,false
269,B1268,658,373,20260116,4,false,false
270,B1269,9,46,20250906,1,false,false
271,B1270,574,543,20250602,-1,false,false
272,B1271,697,156,20251020,3,false,false
273,B1272,29,339,20250718,3,false,false
274,B1273,893,421,20250605,-1,false,false
275,B1274,114,781,20251015,3,false,false
276,B1275,462,166,20250711,3,false,false
277,B1276,921,177,20250715,1,false,false
278,B1277,143,467,20260119,3,false,false
279,B1278,390,717,20250809,1,false,false
280,B1279,632,19,20250510,-1,false,false
281,B1280,682,497,20260412,1,false,false
282,B1281,157,733,20260121,2,false,false
283,B1282,335,280,20251230,2,false,false
284,B1283,861,374,20250508,4,false,false
285,B1284,260,653,20260222,2,false,false
286,B1285,82,961,20260326,2,false,false
287,B1286,754,10,20250925,4,false,false
288,B1287,441,624,20251213,2,false,false
289,B1288,945,58,20251211,3,false,false
290,B1289,172,556,20260323,3,false,false
291,B1290,231,948,20250726,2,false,false
292,B1291,720,634,20260401,3,false,false
293,B1292,75,75,20250803,1,false,false
294,B1293,270,995,20250831,1,false,false
295,B1294,899,-1,20250713,2,true,false
296,B1295,626,367,20251229,2,false,false
297,B1296,62,487,20251223,2,false,false
298,B1297,874,193,20260123,3,false,false
299,B1298,320,720,20260102,3,false,false
300,B1299,102,546,20250911,1,false,false
301,B1300,429,70,20250614,3,false,false
302,B1301,874,322,20250903,1,false,false
303,B1302,722,992,20251227,3,false,false
304,B1303,954,506,20251213,1,false,false
305,B1304,255,22,20251213,4,false,false
306,B1305,532,640,20250928,3,false,false
307,B1306,570,602,20251201,1,false,false
308,B1307,112,1000,20260126,3,false,false
309,B1308,985,908,20250722,2,false,false
310,B1309,313,505,20250506,1,false,false
311,B1310,998,113,20250820,3,false,false
312,B1311,461,732,20251116,3,false,false
313,B1312,708,286,20260329,-1,false,false
314,B1313,887,259,20250516,2,false,false
315,B1314,462,332,20250428,1,false,false
316,B1315,865,237,20260326,3,false,false
317,B1316,92,625,20260106,3,false,false
318,B1317,52,672,20260224,2,false,false
319,B1318,805,672,20250523,2,false,false
320,B1319,520,71,20250504,1,false,false
321,B1320,812,271,20250813,3,false,false
322,B1321,98,555,20260212,3,false,false
323,B1322,236,857,20250727,1,false,false
324,B1323,901,574,20260206,1,false,false
325,B1324,374,379,20260204,2,false,false
326,B1325,581,660,20250811,2,false,false
327,B1326,927,919,20251031,1,false,false
328,B1327,557,562,20250924,1,false,false
329,B1328,649,202,20251101,3,false,false
330,B1329,234,814,20260213,1,false,false
331,B1330,32,78,20251206,1,false,false
332,B1331,289,368,20250703,3,false,false
333,B1332,638,932,20260115,1,false,false
334,B1333,579,817,20250906,2,false,false
335,B1334,542,176,20250927,2,false,false
336,B1335,114,747,20260211,3,false,false
337,B1336,204,112,20250703,1,false,false
338,B1337,29,246,20251020,4,false,false
339,B1338,643,14,20260221,2,false,false
340,B1339,474,508,20250917,2,false,false
341,B1340,697,3,20251214,2,false,false
342,B1341,253,249,20250704,1,false,false
343,B1342,798,922,20250429,1,false,false
344,B1343,905,689,20260308,1,false,false
345,B1344,922,769,20260328,1,false,false
346,B1345,386,886,20250606,2,false,false
347,B1346,62,342,20250607,3,false,false
348,B1347,515,270,20260207,3,false,false
349,B1348,430,541,20250605,2,false,false
350,B1349,580,820,20251119,2,false,false
351,B1350,537,793,20260204,3,false,false
352,B1351,691,393,20250903,3,false,false
353,B1352,141,996,20251020,2,false,false
354,B1353,743,148,20250919,2,false,false
355,B1354,300,688,20251214,1,false,false
356,B1355,675,127,20260330,1,false,false
357,B1356,311,444,20251110,3,false,false
358,B1357,471,65,20260205,-1,false,false
359,B1358,393,324,20250622,3,false,false
360,B1359,642,512,20251022,1,false,false
361,B1360,445,376,20250615,-1,false,false
362,B1361,758,381,20250824,3,false,false
363,B1362,809,523,20251022,1,false,false
364,B1363,172,420,20251214,2,false,false
365,B1364,576,495,20250909,3,false,false
366,B1365,31,931,20250703,2,false,false
367,B1366,47,125,20250505,2,false,false
368,B1367,130,937,20251214,1,false,false
369,B1368,352,780,20251226,2,false,false
370,B1369,978,118,20260318,3,false,false
371,B1370,845,530,20260101,2,false,false
372,B1371,622,206,20250925,2,false,false
373,B1372,581,656,20250511,2,false,false
374,B1373,58,596,20260214,2,false,false
375,B1374,106,356,20250424,2,false,false
376,B1375,812,635,20250902,1,false,false
377,B1376,330,439,20250824,3,false,false
378,B1377,768,896,20251024,1,false,false
379,B1378,824,883,20260116,3,false,false
380,B1379,683,477,20251102,3,false,false
381,B1380,383,7,20260416,3,false,false
382,B1381,985,539,20251111,3,false,false
383,B1382,162,834,20250919,3,false,false
384,B1383,997,281,20250924,2,false,false
385,B1384,286,295,20250516,1,false,false
386,B1385,71,903,20250608,1,false,false
387,B1386,767,432,20260312,2,false,false
388,B1387,454,734,20250723,3,false,false
389,B1388,886,38,20250923,4,false,false
390,B1389,567,85,20260222,-1,false,false
391,B1390,835,554,20260309,2,false,false
392,B1391,397,610,20251126,1,false,false
393,B1392,515,410,20260327,1,false,false
394,B1393,26,952,20260406,3,false,false
395,B1394,313,255,20250723,3,false,false
396,B1395,126,796,20260210,4,false,false
397,B1396,408,310,20250803,-1,false,false
398,B1397,565,963,20260205,2,false,false
399,B1398,198,224,20260204,3,false,false
400,B1399,811,994,20250531,3,false,false
401,B1400,188,633,20260402,2,false,false
402,B1401,698,928,20250420,-1,false,false
403,B1402,817,956,20260321,2,false,false
404,B1403,810,729,20250508,3,false,false
405,B1404,716,252,20260307,4,false,false
406,B1405,484,371,20250826,3,false,false
407,B1406,450,140,20250624,1,false,false
408,B1407,523,821,20250826,1,false,false
409,B1408,871,730,20250729,1,false,false
410,B1409,354,878,20260324,1,false,false
411,B1410,986,369,20260413,1,false,false
412,B1411,658,13,20251012,2,false,false
413,B1412,597,128,20251118,2,false,false
414,B1413,100,564,20251005,-1,false,false
415,B1414,616,708,20260107,1,false,false
416,B1415,948,199,20260322,3,false,false
417,B1416,558,713,20250817,2,false,false
418,B1417,556,453,20250818,3,false,false
419,B1418,278,553,20250504,3,false,false
420,B1419,693,588,20260120,1,false,false
421,B1420,699,687,20260224,1,false,false
422,B1421,990,831,20251003,-1,false,false
423,B1422,626,452,20260104,2,false,false
424,B1423,491,274,20250612,1,false,false
425,B1424,255,150,20251105,2,false,false
426,B1425,381,701,20250628,2,false,false
427,B1426,892,41,20251215,2,false,false
428,B1427,542,566,20260415,2,false,false
429,B1428,264,20,20250617,1,false,false
430,B1429,610,519,20250508,2,false,false
431,B1430,825,542,20260208,1,false,false
432,B1431,879,977,20251121,1,false,false
433,B1432,329,211,20250902,2,false,false
434,B1433,115,692,20250507,1,false,false
435,B1434,276,307,20251019,3,false,false
436,B1435,488,741,20250918,1,false,false
437,B1436,281,347,20260105,1,false,false
438,B1437,275,538,20251128,2,false,false
439,B1438,773,344,20260401,-1,false,false
440,B1439,843,699,20251109,1,false,false
441,B1440,719,464,20260309,2,false,false
442,B1441,896,657,20250922,4,false,false
443,B1442,328,496,20250602,3,false,false
444,B1443,211,461,20251009,2,false,false
445,B1444,727,764,20251225,1,false,false
446,B1445,923,5,20251221,3,false,false
447,B1446,552,909,20250925,3,false,false
448,B1447,992,589,20250521,1,false,false
449,B1448,26,175,20251121,2,false,false
450,B1449,27,308,20250523,3,false,false
451,B1450,702,998,20251111,1,false,false
452,B1451,83,412,20250520,1,false,false
453,B1452,896,172,20260126,3,false,false
454,B1453,946,219,20260207,2,false,false
455,B1454,682,316,20250816,3,false,false
456,B1455,413,469,20260412,1,false,false
457,B1456,167,391,20250424,3,false,false
458,B1457,700,134,20250611,2,false,false
459,B1458,169,875,20251119,1,false,false
460,B1459,801,725,20250610,2,false,false
461,B1460,979,235,20251001,3,false,false
462,B1461,229,838,20251014,3,false,false
463,B1462,979,135,20251203,2,false,false
464,B1463,609,674,20260210,3,false,false
465,B1464,367,354,20260307,2,false,false
466,B1465,528,797,20250702,3,false,false
467,B1466,791,993,20250427,2,false,false
468,B1467,647,888,20250430,2,false,false
469,B1468,538,526,20250716,1,false,false
470,B1469,864,1,20251225,1,false,false
471,B1470,524,132,20250527,2,false,false
472,B1471,72,957,20260328,3,false,false
473,B1472,645,98,20250606,3,false,false
474,B1473,106,694,20250719,3,false,false
475,B1474,732,704,20250728,2,false,false
476,B1475,885,884,20260307,2,false,false
477,B1476,965,577,20260227,2,false,false
478,B1477,689,719,20250706,2,false,false
479,B1478,282,565,20260224,1,false,false
480,B1479,133,839,20251217,2,false,false
481,B1480,534,576,20260314,3,false,false
482,B1481,975,52,20250611,1,false,false
483,B1482,269,696,20250829,3,false,false
484,B1483,412,645,20250609,-1,false,false
485,B1484,673,490,20250507,1,false,false
486,B1485,619,220,20250705,2,false,false
487,B1486,791,478,20250504,1,false,false
488,B1487,865,24,20260126,3,false,false
489,B1488,747,599,20250504,2,false,false
490,B1489,18,727,20250708,2,false,false
491,B1490,754,451,20260310,1,false,false
492,B1491,117,795,20250716,1,false,false
493,B1492,798,473,20260327,2,false,false
494,B1493,794,212,20250601,1,false,false
495,B1494,144,163,20250609,2,false,false
496,B1495,717,801,20251015,1,false,false
497,B1496,551,243,20260321,3,false,false
498,B1497,929,436,20250902,1,false,false
499,B1498,666,872,20250718,3,false,false
500,B1499,688,304,20250617,4,false,false
501,B1500,961,829,20250430,1,false,false
502,B1501,753,648,20250904,2,false,false
503,B1502,422,357,20251015,1,false,false
504,B1503,898,537,20251017,1,false,false
505,B1504,369,547,20250421,3,false,false
506,B1505,646,632,20251129,1,false,false
507,B1506,558,552,20260129,2,false,false
508,B1507,50,771,20251127,3,false,false
509,B1508,678,294,20250731,-1,false,false
510,B1509,106,303,20250925,2,false,false
511,B1510,216,507,20250511,2,false,false
512,B1511,658,94,20251224,2,false,false
513,B1512,923,936,20251221,3,false,false
514,B1513,425,936,20250630,1,false,false
515,B1514,72,571,20250507,2,false,false
516,B1515,988,532,20250706,3,false,false
517,B1516,842,629,20250805,2,false,false
518,B1517,785,221,20260116,4,false,false
519,B1518,759,673,20260320,4,false,false
520,B1519,446,590,20260325,3,false,false
521,B1520,925,299,20260402,1,false,false
522,B1521,186,419,20251108,3,false,false
523,B1522,70,262,20250831,1,false,false
524,B1523,974,593,20250519,3,false,false
525,B1524,150,61,20250617,3,false,false
526,B1525,246,525,20250529,-1,false,false
527,B1526,774,662,20251115,1,false,false
528,B1527,538,317,20250709,3,false,false
529,B1528,935,947,20260328,3,false,false
530,B1529,652,66,20250430,-1,false,false
531,B1530,99,868,20251208,4,false,false
532,B1531,910,63,20260401,3,false,false
533,B1532,278,891,20250422,3,false,false
534,B1533,563,991,20250915,3,false,false
535,B1534,663,804,20250911,1,false,false
536,B1535,944,915,20260402,3,false,false
537,B1536,455,273,20250601,-1,false,false
538,B1537,104,843,20251008,1,false,false
539,B1538,946,647,20260317,3,false,false
540,B1539,601,974,20250611,1,false,false
541,B1540,653,409,20260115,2,false,false
542,B1541,725,540,20251216,1,false,false
543,B1542,233,579,20251213,3,false,false
544,B1543,394,767,20250616,2,false,false
545,B1544,501,520,20250901,2,false,false
546,B1545,695,447,20260308,3,false,false
547,B1546,251,760,20260402,3,false,false
548,B1547,521,115,20250418,3,false,false
549,B1548,79,291,20251004,1,false,false
550,B1549,52,291,20251216,1,false,false
551,B1550,898,79,20251206,1,false,false
552,B1551,921,104,20251114,4,false,false
553,B1552,781,819,20260206,3,false,false
554,B1553,226,743,20251115,1,false,false
555,B1554,51,142,20250826,2,false,false
556,B1555,186,665,20260404,1,false,false
557,B1556,34,59,20260118,2,false,false
558,B1557,803,67,20250810,3,false,false
559,B1558,742,278,20250807,3,false,false
560,B1559,131,975,20260120,1,false,false
561,B1560,632,471,20260307,1,false,false
562,B1561,443,945,20260127,3,false,false
563,B1562,838,214,20250501,1,false,false
564,B1563,759,810,20250911,3,false,false
565,B1564,432,293,20250814,3,false,false
566,B1565,704,514,20260206,2,false,false
567,B1566,497,700,20251008,1,false,false
568,B1567,403,605,20251113,3,false,false
569,B1568,323,870,20251221,1,false,false
570,B1569,210,284,20251226,2,false,false
571,B1570,615,969,20251121,2,false,false
572,B1571,329,739,20251106,1,false,false
573,B1572,372,892,20250526,1,false,false
574,B1573,460,314,20260318,3,false,false
575,B1574,133,314,20250429,2,false,false
576,B1575,835,414,20250616,2,false,false
577,B1576,651,558,20251020,-1,false,false
578,B1577,121,50,20260124,1,false,false
579,B1578,606,405,20251225,3,false,false
580,B1579,452,182,20250424,1,false,false
581,B1580,965,612,20251008,1,false,false
582,B1581,129,170,20250806,1,false,false
583,B1582,91,941,20250424,3,false,false
584,B1583,604,598,20260222,-1,false,false
585,B1584,575,848,20250428,2,false,false
586,B1585,29,233,20260108,2,false,false
587,B1586,722,669,20251113,2,false,false
588,B1587,524,772,20250628,3,false,false
589,B1588,333,773,20251104,1,false,false
590,B1589,297,930,20250831,3,false,false
591,B1590,130,842,20260401,1,false,false
592,B1591,293,377,20251120,2,false,false
593,B1592,173,858,20251117,1,false,false
594,B1593,720,87,20250924,-1,false,false
595,B1594,944,338,20250601,1,false,false
596,B1595,24,226,20260107,3,false,false
597,B1596,99,736,20251220,1,false,false
598,B1597,406,268,20251023,1,false,false
599,B1598,356,786,20260102,1,false,false
600,B1599,139,786,20250930,3,false,false
601,B1600,503,916,20250720,3,false,false
602,B1601,826,261,20250907,3,false,false
603,B1602,174,42,20250707,-1,false,false
604,B1603,29,644,20251206,2,false,false
605,B1604,931,644,20251117,2,false,false
606,B1605,496,608,20251003,2,false,false
607,B1606,655,15,20250718,1,false,false
608,B1607,828,372,20260202,4,false,false
609,B1608,351,636,20250628,2,false,false
610,B1609,554,568,20251021,2,false,false
611,B1610,299,145,20251013,1,false,false
612,B1611,720,802,20260105,2,false,false
613,B1612,842,726,20250418,2,false,false
614,B1613,945,735,20260129,1,false,false
615,B1614,192,387,20250511,-1,false,false
616,B1615,672,117,20250523,2,false,false
617,B1616,64,707,20251223,3,false,false
618,B1617,755,341,20250510,4,false,false
619,B1618,770,341,20260119,1,false,false
620,B1619,664,815,20260205,3,false,false
621,B1620,215,440,20260224,3,false,false
622,B1621,834,21,20251221,3,false,false
623,B1622,166,572,20250623,3,false,false
624,B1623,543,482,20250817,2,false,false
625,B1624,883,617,20251220,2,false,false
626,B1625,232,394,20260405,3,false,false
627,B1626,794,53,20250417,2,false,false
628,B1627,541,785,20260109,3,false,false
629,B1628,195,23,20251125,3,false,false
630,B1629,506,521,20260102,1,false,false
631,B1630,334,509,20260407,3,false,false
632,B1631,768,869,20260217,2,false,false
633,B1632,793,899,20260330,3,false,false
634,B1633,304,721,20250830,1,false,false
635,B1634,833,697,20251225,2,false,false
636,B1635,437,407,20250814,4,false,false
637,B1636,323,718,20250527,1,false,false
638,B1637,502,35,20251201,3,false,false
639,B1638,858,861,20260223,1,false,false
640,B1639,914,9,20250914,1,false,false
641,B1640,393,4,20260128,2,false,false
642,B1641,806,895,20260327,-1,false,false
643,B1642,599,522,20260215,3,false,false
644,B1643,149,298,20260204,3,false,false
645,B1644,761,691,20251020,3,false,false
646,B1645,833,854,20250816,1,false,false
647,B1646,405,964,20250927,2,false,false
648,B1647,283,714,20251106,3,false,false
649,B1648,362,16,20250809,1,false,false
650,B1649,379,64,20260405,3,false,false
651,B1650,198,631,20260403,-1,false,false
652,B1651,556,580,20250909,2,false,false
653,B1652,356,197,20251219,3,false,false
654,B1653,540,311,20260326,2,false,false
655,B1654,429,402,20250814,-1,false,false
656,B1655,17,141,20251009,3,false,false
657,B1656,639,808,20250512,1,false,false
658,B1657,379,276,20250828,1,false,false
659,B1658,680,272,20250622,1,false,false
660,B1659,506,984,20260117,3,false,false
661,B1660,756,715,20260404,2,false,false
662,B1661,899,779,20250421,3,false,false
663,B1662,76,189,20251013,1,false,false
664,B1663,231,404,20250516,2,false,false
665,B1664,716,742,20251108,1,false,false
666,B1665,962,659,20260304,2,false,false
667,B1666,248,855,20260305,3,false,false
668,B1667,302,136,20260216,2,false,false
669,B1668,726,39,20250430,3,false,false
670,B1669,215,282,20250616,1,false,false
671,B1670,158,751,20250512,2,false,false
672,B1671,69,550,20250708,1,false,false
673,B1672,393,380,20250801,2,false,false
674,B1673,85,418,20250612,-1,false,false
675,B1674,267,830,20251103,2,false,false
676,B1675,69,111,20250801,2,false,false
677,B1676,611,468,20260414,3,false,false
678,B1677,347,900,20260131,3,false,false
679,B1678,962,240,20251231,3,false,false
680,B1679,728,256,20250817,2,false,false
681,B1680,927,524,20260319,-1,false,false
682,B1681,673,661,20260402,2,false,false
683,B1682,423,885,20250710,2,false,false
684,B1683,606,321,20250807,1,false,false
685,B1684,174,833,20251118,3,false,false
686,B1685,677,709,20250515,2,false,false
687,B1686,115,911,20251117,1,false,false
688,B1687,220,597,20251012,3,false,false
689,B1688,956,328,20250614,3,false,false
690,B1689,31,677,20250710,2,false,false
691,B1690,523,670,20250628,3,false,false
692,B1691,343,613,20260123,3,false,false
