payment_sk,payment_id,booking_sk,amount,amount_quality,payment_method
129,PAY1128,686,5545.26,valid,NETBANKING
130,PAY1129,232,6547.30,valid,UPI
131,PAY1130,270,6692.76,valid,UPI
132,PAY1131,940,8851.37,valid,UPI
133,PAY1132,447,4197.73,valid,UPI
134,PAY1133,874,12510.96,valid,CARD
135,PAY1134,222,5138.43,valid,UPI
136,PAY1135,52,10875.08,valid,CARD
137,PAY1136,116,8185.02,valid,UPI
138,PAY1137,538,9202.57,valid,NETBANKING
139,PAY1138,565,3514.52,valid,NETBANKING
140,PAY1139,877,11290.32,valid,NETBANKING
141,PAY1140,541,3640.69,valid,CARD
142,PAY1141,19,2588.63,valid,UPI
143,PAY1142,815,8653.51,valid,UPI
144,PAY1143,392,10930.16,valid,CARD
145,PAY1144,791,1700.50,valid,CARD
146,PAY1145,629,1971.53,valid,CARD
147,PAY1146,618,12237.51,valid,CARD
148,PAY1147,419,12326.46,valid,CARD
149,PAY1148,991,4434.27,valid,NETBANKING
150,PAY1149,309,9613.19,valid,UPI
151,PAY1150,739,7204.52,valid,CARD
152,PAY1151,864,9857.74,valid,NETBANKING
153,PAY1152,186,13080.31,valid,CARD
154,PAY1153,261,2117.99,valid,NETBANKING
155,PAY1154,528,11891.78,valid,CARD
156,PAY1155,273,7902.41,valid,UPI
157,PAY1156,160,8897.78,valid,CARD
158,PAY1157,870,10155.04,valid,CARD
159,PAY1158,762,13916.72,valid,UPI
160,PAY1159,224,1794.08,valid,UPI
161,PAY1160,256,1412.67,valid,CARD
162,PAY1161,180,3495.66,valid,UPI
163,PAY1162,20,14810.27,valid,UPI
164,PAY1163,624,11011.07,valid,NETBANKING
165,PAY1164,632,9604.98,valid,UPI
166,PAY1165,706,1658.55,valid,UPI
167,PAY1166,468,13307.54,valid,CARD
168,PAY1167,623,12378.60,valid,CARD
169,PAY1168,210,10307.20,valid,NETBANKING
170,PAY1169,513,5747.83,valid,CARD
171,PAY1170,58,1987.07,valid,UPI
172,PAY1171,93,9120.54,valid,UPI
173,PAY1172,221,11075.72,valid,UPI
174,PAY1173,723,,non_numeric,CARD
175,PAY1174,940,9872.75,valid,UPI
176,PAY1175,232,5009.12,valid,UPI
177,PAY1176,774,11699.42,valid,NETBANKING
178,PAY1177,364,8554.62,valid,NETBANKING
179,PAY1178,615,2806.52,valid,NETBANKING
180,PAY1179,562,8371.27,valid,CARD
181,PAY1180,374,6540.32,valid,UPI
182,PAY1181,622,3524.98,valid,UPI
183,PAY1182,456,12781.22,valid,UPI
184,PAY1183,88,1154.40,valid,NETBANKING
185,PAY1184,20,,missing,UPI
186,PAY1185,14,1176.33,valid,UPI
187,PAY1186,133,,missing,UPI
188,PAY1187,937,5159.35,valid,UPI
189,PAY1188,808,1759.80,valid,UPI
190,PAY1189,34,9352.83,valid,CARD
191,PAY1190,892,2216.08,valid,UPI
192,PAY1191,208,10823.99,valid,CARD
193,PAY1192,813,1736.99,valid,UPI
194,PAY1193,199,1830.32,valid,CARD
195,PAY1194,592,5274.56,valid,UPI
196,PAY1195,583,13552.00,valid,UPI
197,PAY1196,155,9979.51,valid,UPI
198,PAY1197,590,11781.84,valid,UPI
199,PAY1198,78,2981.73,valid,NETBANKING
200,PAY1199,172,12677.76,valid,UPI
201,PAY1200,289,1114.05,valid,CARD
202,PAY1201,545,3982.80,valid,NETBANKING
203,PAY1202,812,9625.29,valid,NETBANKING
204,PAY1203,788,6253.45,valid,UPI
205,PAY1204,879,14778.71,valid,CARD
206,PAY1205,420,1424.75,valid,CARD
207,PAY1206,7,14980.37,valid,NETBANKING
208,PAY1207,160,,missing,CARD
209,PAY1208,240,8821.90,valid,UPI
210,PAY1209,963,1833.17,valid,UPI
211,PAY1210,423,4826.60,valid,UPI
212,PAY1211,989,13945.28,valid,UPI
213,PAY1212,536,5959.44,valid,UPI
214,PAY1213,726,,non_numeric,NETBANKING
215,PAY1214,70,14992.95,valid,UPI
216,PAY1215,880,4682.98,valid,UPI
217,PAY1216,216,9065.13,valid,NETBANKING
218,PAY1217,104,10750.13,valid,NETBANKING
219,PAY1218,727,3304.78,valid,NETBANKING
220,PAY1219,54,3081.42,valid,CARD
221,PAY1220,806,,missing,CARD
222,PAY1221,330,6401.38,valid,UPI
223,PAY1222,848,10999.02,valid,UPI
224,PAY1223,203,1973.12,valid,UPI
225,PAY1224,288,14610.33,valid,CARD
226,PAY1225,45,1199.88,valid,UPI
227,PAY1226,829,9418.44,valid,UPI
228,PAY1227,198,8876.86,valid,CARD
229,PAY1228,216,2886.02,valid,NETBANKING
230,PAY1229,481,3112.82,valid,CARD
231,PAY1230,309,12097.48,valid,UPI
232,PAY1231,896,13425.87,valid,CARD
233,PAY1232,435,4962.24,valid,NETBANKING
234,PAY1233,332,7131.50,valid,NETBANKING
235,PAY1234,696,5969.93,valid,NETBANKING
236,PAY1235,27,2015.66,valid,NETBANKING
237,PAY1236,166,10424.86,valid,NETBANKING
238,PAY1237,318,12552.70,valid,NETBANKING
239,PAY1238,274,5268.31,valid,UPI
240,PAY1239,383,14862.46,valid,UPI
241,PAY1240,365,2061.92,valid,CARD
242,PAY1241,103,10265.07,valid,UPI
243,PAY1242,960,7275.19,valid,NETBANKING
244,PAY1243,503,7252.43,valid,UPI
245,PAY1244,845,,non_numeric,CARD
246,PAY1245,373,4621.54,valid,NETBANKING
247,PAY1246,616,11017.88,valid,UPI
248,PAY1247,926,11102.07,valid,UPI
249,PAY1248,245,4953.56,valid,CARD
250,PAY1249,817,,non_numeric,NETBANKING
251,PAY1250,169,5435.83,valid,CARD
252,PAY1251,628,11151.30,valid,NETBANKING
253,PAY1252,653,2694.00,valid,NETBANKING
254,PAY1253,418,3361.82,valid,UPI
255,PAY1254,356,5421.14,valid,CARD
256,PAY1255,478,9314.23,valid,CARD
257,PAY1256,125,,missing,CARD
258,PAY1257,537,6548.99,valid,NETBANKING
259,PAY1258,706,2089.75,valid,CARD
260,PAY1259,896,6230.89,valid,NETBANKING
261,PAY1260,612,10642.75,valid,CARD
262,PAY1261,402,10393.94,valid,CARD
263,PAY1262,517,3242.75,valid,UPI
264,PAY1263,531,1108.98,valid,CARD
265,PAY1264,682,11541.74,valid,UPI
266,PAY1265,786,2489.15,valid,UPI
267,PAY1266,254,2152.89,valid,NETBANKING
268,PAY1267,121,1037.82,valid,CARD
269,PAY1268,32,7056.42,valid,CARD
270,PAY1269,661,,missing,CARD
271,PAY1270,778,9927.30,valid,UPI
272,PAY1271,37,5144.89,valid,CARD
273,PAY1272,689,10945.95,valid,NETBANKING
274,PAY1273,342,,missing,NETBANKING
275,PAY1274,13,12647.86,valid,CARD
276,PAY1275,183,9005.88,valid,UPI
277,PAY1276,657,9174.46,valid,NETBANKING
278,PAY1277,265,3936.86,valid,NETBANKING
279,PAY1278,88,2037.52,valid,UPI
280,PAY1279,940,7506.15,valid,NETBANKING
281,PAY1280,462,9618.57,valid,UPI
282,PAY1281,46,2330.65,valid,NETBANKING
283,PAY1282,392,14307.48,valid,UPI
284,PAY1283,119,,missing,NETBANKING
285,PAY1284,933,8636.39,valid,CARD
286,PAY1285,531,14300.97,valid,NETBANKING
287,PAY1286,447,3512.23,valid,NETBANKING
288,PAY1287,732,1355.89,valid,CARD
289,PAY1288,942,1551.73,valid,CARD
290,PAY1289,745,9225.17,valid,CARD
291,PAY1290,606,,non_numeric,CARD
292,PAY1291,967,14419.64,valid,UPI
293,PAY1292,763,2987.06,valid,UPI
294,PAY1293,762,5266.12,valid,NETBANKING
295,PAY1294,794,12515.25,valid,NETBANKING
296,PAY1295,744,4062.36,valid,NETBANKING
297,PAY1296,46,4401.56,valid,UPI
298,PAY1297,886,9992.33,valid,NETBANKING
299,PAY1298,508,4865.21,valid,NETBANKING
300,PAY1299,558,4044.27,valid,UPI
301,PAY1300,971,4558.49,valid,NETBANKING
302,PAY1301,526,7869.06,valid,UPI
303,PAY1302,597,14525.40,valid,UPI
304,PAY1303,831,12651.33,valid,CARD
305,PAY1304,840,4984.54,valid,CARD
306,PAY1305,3,6087.22,valid,UPI
307,PAY1306,28,7503.17,valid,UPI
308,PAY1307,381,14705.02,valid,CARD
309,PAY1308,157,3413.47,valid,NETBANKING
310,PAY1309,855,6004.76,valid,NETBANKING
311,PAY1310,914,11211.97,valid,NETBANKING
312,PAY1311,931,,missing,UPI
313,PAY1312,511,3179.45,valid,CARD
314,PAY1313,333,4183.32,valid,NETBANKING
315,PAY1314,844,4159.73,valid,CARD
316,PAY1315,687,1293.05,valid,CARD
317,PAY1316,114,9457.62,valid,UPI
318,PAY1317,389,10389.84,valid,NETBANKING
319,PAY1318,487,9435.36,valid,CARD
320,PAY1319,843,1998.52,valid,UPI
321,PAY1320,250,1969.22,valid,UPI
322,PAY1321,571,3945.41,valid,UPI
323,PAY1322,715,5064.12,valid,NETBANKING
324,PAY1323,315,,non_numeric,NETBANKING
325,PAY1324,239,3231.46,valid,UPI
326,PAY1325,234,1617.29,valid,NETBANKING
327,PAY1326,303,6515.83,valid,NETBANKING
328,PAY1327,607,6829.49,valid,CARD
329,PAY1328,991,,missing,UPI
330,PAY1329,653,12576.65,valid,UPI
331,PAY1330,334,2372.08,valid,NETBANKING
332,PAY1331,113,10855.19,valid,UPI
333,PAY1332,621,5731.24,valid,UPI
334,PAY1333,362,5339.72,valid,UPI
335,PAY1334,857,14055.60,valid,NETBANKING
336,PAY1335,801,4478.56,valid,NETBANKING
337,PAY1336,97,9995.45,valid,NETBANKING
338,PAY1337,958,4851.79,valid,CARD
339,PAY1338,847,8100.01,valid,UPI
340,PAY1339,16,12008.10,valid,CARD
341,PAY1340,556,13344.12,valid,NETBANKING
342,PAY1341,954,12741.76,valid,CARD
343,PAY1342,376,9150.53,valid,UPI
344,PAY1343,742,4483.43,valid,UPI
345,PAY1344,390,,missing,NETBANKING
346,PAY1345,620,10938.67,valid,NETBANKING
347,PAY1346,217,1149.69,valid,CARD
348,PAY1347,399,7148.95,valid,NETBANKING
349,PAY1348,260,12805.67,valid,CARD
350,PAY1349,824,7854.23,valid,UPI
351,PAY1350,320,5359.26,valid,UPI
352,PAY1351,196,13205.17,valid,UPI
353,PAY1352,478,3182.33,valid,UPI
354,PAY1353,418,3890.23,valid,UPI
355,PAY1354,475,10623.21,valid,CARD
356,PAY1355,607,5934.10,valid,UPI
357,PAY1356,568,10982.24,valid,CARD
358,PAY1357,544,3207.85,valid,UPI
359,PAY1358,231,4531.77,valid,CARD
360,PAY1359,884,3193.06,valid,CARD
361,PAY1360,521,14340.74,valid,CARD
362,PAY1361,703,,missing,NETBANKING
363,PAY1362,873,5721.08,valid,CARD
364,PAY1363,200,1198.83,valid,CARD
365,PAY1364,846,3147.85,valid,UPI
366,PAY1365,673,6895.90,valid,CARD
367,PAY1366,599,1959.04,valid,CARD
368,PAY1367,21,8150.35,valid,NETBANKING
369,PAY1368,311,7370.22,valid,UPI
370,PAY1369,588,11740.35,valid,NETBANKING
371,PAY1370,953,10237.24,valid,NETBANKING
372,PAY1371,898,7243.26,valid,NETBANKING
373,PAY1372,653,4145.25,valid,CARD
374,PAY1373,638,11176.09,valid,NETBANKING
375,PAY1374,763,10910.07,valid,NETBANKING
376,PAY1375,900,3146.15,valid,UPI
377,PAY1376,596,13806.53,valid,UPI
378,PAY1377,434,1901.67,valid,UPI
379,PAY1378,371,1770.53,valid,UPI
380,PAY1379,560,3622.91,valid,NETBANKING
381,PAY1380,891,13732.45,valid,UPI
382,PAY1381,78,8279.97,valid,CARD
383,PAY1382,542,12031.17,valid,NETBANKING
384,PAY1383,285,4189.80,valid,UPI
385,PAY1384,648,7863.11,valid,NETBANKING
386,PAY1385,140,6016.05,valid,UPI
387,PAY1386,553,12589.60,valid,NETBANKING
388,PAY1387,998,,missing,UPI
389,PAY1388,282,4413.80,valid,CARD
390,PAY1389,562,3136.04,valid,UPI
391,PAY1390,258,13028.65,valid,NETBANKING
392,PAY1391,823,7545.61,valid,NETBANKING
393,PAY1392,360,,missing,CARD
394,PAY1393,440,7292.76,valid,NETBANKING
395,PAY1394,270,14606.94,valid,CARD
396,PAY1395,134,12903.74,valid,NETBANKING
397,PAY1396,746,10889.16,valid,NETBANKING
398,PAY1397,640,5066.71,valid,CARD
399,PAY1398,104,3312.42,valid,NETBANKING
400,PAY1399,766,13900.07,valid,NETBANKING
401,PAY1400,95,6923.06,valid,CARD
402,PAY1401,849,4902.58,valid,UPI
403,PAY1402,729,7592.89,valid,CARD
404,PAY1403,573,13849.86,valid,NETBANKING
405,PAY1404,480,6418.94,valid,UPI
406,PAY1405,780,8876.97,valid,UPI
407,PAY1406,241,12241.53,valid,UPI
408,PAY1407,13,6979.86,valid,CARD
409,PAY1408,147,,non_numeric,UPI
410,PAY1409,940,14923.36,valid,UPI
411,PAY1410,752,14391.99,valid,UPI
412,PAY1411,601,12808.71,valid,NETBANKING
413,PAY1412,95,10637.23,valid,CARD
414,PAY1413,827,5128.12,valid,CARD
415,PAY1414,293,13787.78,valid,NETBANKING
416,PAY1415,25,4857.79,valid,UPI
417,PAY1416,272,12211.33,valid,NETBANKING
418,PAY1417,505,13855.61,valid,NETBANKING
419,PAY1418,166,9442.05,valid,UPI
420,PAY1419,939,12242.79,valid,UPI
421,PAY1420,762,12083.73,valid,CARD
422,PAY1421,87,3704.21,valid,UPI
423,PAY1422,654,10350.94,valid,NETBANKING
424,PAY1423,646,2308.55,valid,NETBANKING
425,PAY1424,985,8109.90,valid,UPI
426,PAY1425,791,3271.30,valid,CARD
427,PAY1426,638,6828.89,valid,NETBANKING
428,PAY1427,828,12661.75,valid,UPI
429,PAY1428,491,,non_numeric,CARD
430,PAY1429,908,5451.44,valid,CARD
431,PAY1430,141,8447.38,valid,NETBANKING
432,PAY1431,868,8158.17,valid,NETBANKING
433,PAY1432,103,14361.62,valid,CARD
434,PAY1433,226,,non_numeric,CARD
435,PAY1434,902,10787.49,valid,CARD
436,PAY1435,575,13905.05,valid,UPI
437,PAY1436,294,6227.30,valid,NETBANKING
438,PAY1437,896,13629.71,valid,CARD
439,PAY1438,306,13844.39,valid,NETBANKING
440,PAY1439,254,14029.28,valid,NETBANKING
441,PAY1440,180,4786.25,valid,NETBANKING
442,PAY1441,40,6604.98,valid,CARD
443,PAY1442,776,13185.54,valid,UPI
444,PAY1443,701,6028.27,valid,CARD
445,PAY1444,520,9403.54,valid,NETBANKING
446,PAY1445,616,2652.76,valid,CARD
447,PAY1446,737,1787.85,valid,CARD
448,PAY1447,546,6767.92,valid,NETBANKING
449,PAY1448,236,,non_numeric,NETBANKING
450,PAY1449,463,6497.79,valid,CARD
451,PAY1450,228,,non_numeric,CARD
452,PAY1451,700,8211.18,valid,CARD
453,PAY1452,825,10599.90,valid,CARD
454,PAY1453,483,10093.45,valid,UPI
455,PAY1454,430,6939.44,valid,CARD
456,PAY1455,22,6949.93,valid,UPI
457,PAY1456,343,,missing,NETBANKING
458,PAY1457,40,8185.34,valid,UPI
459,PAY1458,173,9220.51,valid,NETBANKING
460,PAY1459,439,7670.85,valid,UPI
461,PAY1460,179,,missing,NETBANKING
462,PAY1461,598,11103.08,valid,CARD
463,PAY1462,133,2045.26,valid,UPI
464,PAY1463,351,13802.17,valid,UPI
465,PAY1464,525,1289.01,valid,NETBANKING
466,PAY1465,540,14472.90,valid,NETBANKING
467,PAY1466,506,7472.98,valid,UPI
468,PAY1467,84,6777.38,valid,NETBANKING
469,PAY1468,993,4590.22,valid,CARD
470,PAY1469,464,1141.00,valid,UPI
471,PAY1470,830,4847.06,valid,CARD
472,PAY1471,861,2531.60,valid,UPI
473,PAY1472,343,10237.49,valid,CARD
474,PAY1473,280,5467.05,valid,UPI
475,PAY1474,866,11740.51,valid,NETBANKING
476,PAY1475,263,3896.83,valid,UPI
477,PAY1476,166,13603.29,valid,CARD
478,PAY1477,293,8321.74,valid,UPI
479,PAY1478,509,2603.09,valid,CARD
480,PAY1479,580,6611.83,valid,CARD
481,PAY1480,226,3894.65,valid,CARD
482,PAY1481,170,3795.60,valid,NETBANKING
483,PAY1482,598,8089.18,valid,UPI
484,PAY1483,645,10406.49,valid,CARD
485,PAY1484,448,13762.65,valid,NETBANKING
486,PAY1485,690,8030.27,valid,CARD
487,PAY1486,855,14521.74,valid,UPI
488,PAY1487,502,14182.89,valid,NETBANKING
489,PAY1488,764,,non_numeric,CARD
490,PAY1489,527,7999.68,valid,CARD
491,PAY1490,735,2972.66,valid,CARD
492,PAY1491,379,4050.66,valid,UPI
493,PAY1492,201,10067.38,valid,NETBANKING
494,PAY1493,619,6904.57,valid,NETBANKING
495,PAY1494,250,3055.22,valid,NETBANKING
496,PAY1495,949,7705.92,valid,CARD
497,PAY1496,409,1244.03,valid,NETBANKING
498,PAY1497,601,11274.54,valid,CARD
499,PAY1498,125,2030.14,valid,UPI
500,PAY1499,113,9807.59,valid,NETBANKING
501,PAY1500,981,12102.14,valid,CARD
502,PAY1501,137,2857.01,valid,NETBANKING
503,PAY1502,759,8260.94,valid,NETBANKING
504,PAY1503,496,11906.95,valid,UPI
505,PAY1504,678,4648.87,valid,NETBANKING
506,PAY1505,150,3280.83,valid,UPI
507,PAY1506,875,5715.47,valid,NETBANKING
508,PAY1507,343,8765.79,valid,NETBANKING
509,PAY1508,945,9053.91,valid,NETBANKING
510,PAY1509,580,2832.27,valid,NETBANKING
511,PAY1510,733,7405.96,valid,NETBANKING
512,PAY1511,783,4755.95,valid,NETBANKING
513,PAY1512,321,12788.34,valid,UPI
514,PAY1513,822,5390.05,valid,UPI
515,PAY1514,926,12741.86,valid,CARD
516,PAY1515,861,6999.90,valid,NETBANKING
517,PAY1516,532,11172.20,valid,UPI
518,PAY1517,289,8140.84,valid,NETBANKING
519,PAY1518,489,9707.48,valid,NETBANKING
520,PAY1519,492,6534.99,valid,UPI
521,PAY1520,612,11754.89,valid,NETBANKING
522,PAY1521,252,6952.65,valid,UPI
523,PAY1522,982,7404.46,valid,UPI
524,PAY1523,77,8247.50,valid,CARD
525,PAY1524,647,12645.54,valid,CARD
526,PAY1525,392,10231.31,valid,CARD
527,PAY1526,412,5888.25,valid,CARD
528,PAY1527,173,10384.47,valid,NETBANKING
529,PAY1528,875,9993.97,valid,NETBANKING
530,PAY1529,201,14034.27,valid,CARD
531,PAY1530,217,12779.83,valid,UPI
532,PAY1531,376,10064.26,valid,UPI
533,PAY1532,720,5781.10,valid,UPI
534,PAY1533,586,11914.07,valid,UPI
535,PAY1534,11,,non_numeric,NETBANKING
536,PAY1535,799,14793.78,valid,UPI
537,PAY1536,768,4465.09,valid,UPI
538,PAY1537,12,2115.18,valid,CARD
539,PAY1538,892,1978.49,valid,UPI
540,PAY1539,991,9960.43,valid,NETBANKING
541,PAY1540,590,14149.64,valid,UPI
542,PAY1541,435,1027.05,valid,UPI
543,PAY1542,684,11160.79,valid,NETBANKING
544,PAY1543,608,10198.91,valid,CARD
545,PAY1544,818,11252.26,valid,NETBANKING
546,PAY1545,373,5975.68,valid,CARD
547,PAY1546,273,12486.95,valid,UPI
548,PAY1547,931,1625.90,valid,CARD
549,PAY1548,897,,missing,CARD
550,PAY1549,925,4739.01,valid,CARD
551,PAY1550,691,7675.73,valid,UPI
552,PAY1551,576,12516.91,valid,CARD
553,PAY1552,509,4799.03,valid,CARD
554,PAY1553,132,3592.91,valid,UPI
555,PAY1554,855,10538.38,valid,NETBANKING
556,PAY1555,924,8467.53,valid,NETBANKING
557,PAY1556,784,8201.65,valid,NETBANKING
558,PAY1557,319,4594.77,valid,UPI
559,PAY1558,844,1488.32,valid,UPI
560,PAY1559,949,6743.77,valid,NETBANKING
561,PAY1560,853,2491.83,valid,CARD
562,PAY1561,621,13683.85,valid,NETBANKING
563,PAY1562,785,1577.50,valid,UPI
564,PAY1563,168,7043.11,valid,CARD
565,PAY1564,397,1731.44,valid,CARD
566,PAY1565,180,2337.61,valid,UPI
567,PAY1566,58,10224.13,valid,CARD
568,PAY1567,480,10059.56,valid,NETBANKING
569,PAY1568,933,,missing,UPI
570,PAY1569,591,1015.84,valid,UPI
571,PAY1570,460,2103.45,valid,UPI
572,PAY1571,61,11681.98,valid,UPI
573,PAY1572,369,9184.07,valid,CARD
574,PAY1573,121,1533.66,valid,UPI
575,PAY1574,719,7833.36,valid,UPI
576,PAY1575,546,10968.41,valid,CARD
577,PAY1576,582,,non_numeric,UPI
578,PAY1577,17,14076.51,valid,CARD
579,PAY1578,496,5584.17,valid,CARD
580,PAY1579,497,2901.65,valid,UPI
581,PAY1580,505,4316.96,valid,NETBANKING
582,PAY1581,532,,missing,UPI
583,PAY1582,969,14600.78,valid,NETBANKING
584,PAY1583,315,7529.51,valid,CARD
585,PAY1584,69,5274.94,valid,NETBANKING
586,PAY1585,727,7008.67,valid,UPI
587,PAY1586,161,5267.38,valid,UPI
588,PAY1587,614,4590.83,valid,NETBANKING
589,PAY1588,888,9312.51,valid,UPI
590,PAY1589,718,1220.30,valid,NETBANKING
591,PAY1590,145,,non_numeric,CARD
592,PAY1591,569,,missing,NETBANKING
593,PAY1592,595,1448.88,valid,NETBANKING
594,PAY1593,993,2164.83,valid,NETBANKING
595,PAY1594,385,5107.55,valid,NETBANKING
596,PAY1595,269,13289.27,valid,CARD
597,PAY1596,923,11708.41,valid,CARD
598,PAY1597,454,1310.19,valid,CARD
599,PAY1598,699,8023.98,valid,NETBANKING
600,PAY1599,518,,missing,CARD
601,PAY1600,865,10081.04,valid,UPI
602,PAY1601,350,11101.75,valid,CARD
603,PAY1602,110,13080.08,valid,NETBANKING
604,PAY1603,483,7655.83,valid,UPI
605,PAY1604,407,14922.30,valid,NETBANKING
606,PAY1605,650,14719.81,valid,UPI
607,PAY1606,51,13350.33,valid,NETBANKING
608,PAY1607,403,9048.17,valid,NETBANKING
609,PAY1608,563,6572.09,valid,UPI
610,PAY1609,476,6101.41,valid,CARD
611,PAY1610,87,1169.75,valid,UPI
612,PAY1611,68,4488.44,valid,UPI
