date_sk,date,year,month,year_month,day,weekday
20250821,2025-08-21,2025,8,2025-08,21,4
20250822,2025-08-22,2025,8,2025-08,22,5
20250823,2025-08-23,2025,8,2025-08,23,6
20250824,2025-08-24,2025,8,2025-08,24,0
20250825,2025-08-25,2025,8,2025-08,25,1
20250826,2025-08-26,2025,8,2025-08,26,2
20250827,2025-08-27,2025,8,2025-08,27,3
20250828,2025-08-28,2025,8,2025-08,28,4
20250829,2025-08-29,2025,8,2025-08,29,5
20250830,2025-08-30,2025,8,2025-08,30,6
20250831,2025-08-31,2025,8,2025-08,31,0
20250901,2025-09-01,2025,9,2025-09,1,1
20250902,2025-09-02,2025,9,2025-09,2,2
20250903,2025-09-03,2025,9,2025-09,3,3
20250904,2025-09-04,2025,9,2025-09,4,4
20250905,2025-09-05,2025,9,2025-09,5,5
20250906,2025-09-06,2025,9,2025-09,6,6
20250907,2025-09-07,2025,9,2025-09,7,0
20250908,2025-09-08,2025,9,2025-09,8,1
20250909,2025-09-09,2025,9,2025-09,9,2
20250910,2025-09-10,2025,9,2025-09,10,3
20250911,2025-09-11,2025,9,2025-09,11,4
20250912,2025-09-12,2025,9,2025-09,12,5
20250913,2025-09-13,2025,9,2025-09,13,6
20250914,2025-09-14,2025,9,2025-09,14,0
20250915,2025-09-15,2025,9,2025-09,15,1
20250916,2025-09-16,2025,9,2025-09,16,2
20250917,2025-09-17,2025,9,2025-09,17,3
20250918,2025-09-18,2025,9,2025-09,18,4
20250919,2025-09-19,2025,9,2025-09,19,5
20250920,2025-09-20,2025,9,2025-09,20,6
20250921,2025-09-21,2025,9,2025-09,21,0
20250922,2025-09-22,2025,9,2025-09,22,1
20250923,2025-09-23,2025,9,2025-09,23,2
20250924,2025-09-24,2025,9,2025-09,24,3
20250925,2025-09-25,2025,9,2025-09,25,4
20250926,2025-09-26,2025,9,2025-09,26,5
20250927,2025-09-27,2025,9,2025-09,27,6
20250928,2025-09-28,2025,9,2025-09,28,0
20250929,2025-09-29,2025,9,2025-09,29,1
20250930,2025-09-30,2025,9,2025-09,30,2
20251001,2025-10-01,2025,10,2025-10,1,3
20251002,2025-10-02,2025,10,2025-10,2,4
20251003,2025-10-03,2025,10,2025-10,3,5
20251004,2025-10-04,2025,10,2025-10,4,6
20251005,2025-10-05,2025,10,2025-10,5,0
20251006,2025-10-06,2025,10,2025-10,6,1
20251007,2025-10-07,2025,10,2025-10,7,2
20251008,2025-10-08,2025,10,2025-10,8,3
20251009,2025-10-09,2025,10,2025-10,9,4
20251010,2025-10-10,2025,10,2025-10,10,5
20251011,2025-10-11,2025,10,2025-10,11,6
20251012,2025-10-12,2025,10,2025-10,12,0
20251013,2025-10-13,2025,10,2025-10,13,1
20251014,2025-10-14,2025,10,2025-10,14,2
20251015,2025-10-15,2025,10,2025-10,15,3
20251016,2025-10-16,2025,10,2025-10,16,4
20251017,2025-10-17,2025,10,2025-10,17,5
20251018,2025-10-18,2025,10,2025-10,18,6
20251019,2025-10-19,2025,10,2025-10,19,0
20251020,2025-10-20,2025,10,2025-10,20,1
20251021,2025-10-21,2025,10,2025-10,21,2
20251022,2025-10-22,2025,10,2025-10,22,3
20251023,2025-10-23,2025,10,2025-10,23,4
20251024,2025-10-24,2025,10,2025-10,24,5
20251025,2025-10-25,2025,10,2025-10,25,6
20251026,2025-10-26,2025,10,2025-10,26,0
20251027,2025-10-27,2025,10,2025-10,27,1
20251028,2025-10-28,2025,10,2025-10,28,2
20251029,2025-10-29,2025,10,2025-10,29,3
20251030,2025-10-30,2025,10,2025-10,30,4
20251031,2025-10-31,2025,10,2025-10,31,5
20251101,2025-11-01,2025,11,2025-11,1,6
20251102,2025-11-02,2025,11,2025-11,2,0
20251103,2025-11-03,2025,11,2025-11,3,1
20251104,2025-11-04,2025,11,2025-11,4,2
20251105,2025-11-05,2025,11,2025-11,5,3
20251106,2025-11-06,2025,11,2025-11,6,4
20251107,2025-11-07,2025,11,2025-11,7,5
20251108,2025-11-08,2025,11,2025-11,8,6
20251109,2025-11-09,2025,11,2025-11,9,0
20251110,2025-11-10,2025,11,2025-11,10,1
20251111,2025-11-11,2025,11,2025-11,11,2
20251112,2025-11-12,2025,11,2025-11,12,3
20251113,2025-11-13,2025,11,2025-11,13,4
20251114,2025-11-14,2025,11,2025-11,14,5
20251115,2025-11-15,2025,11,2025-11,15,6
20251116,2025-11-16,2025,11,2025-11,16,0
20251117,2025-11-17,2025,11,2025-11,17,1
20251118,2025-11-18,2025,11,2025-11,18,2
20251119,2025-11-19,2025,11,2025-11,19,3
20251120,2025-11-20,2025,11,2025-11,20,4
20251121,2025-11-21,2025,11,2025-11,21,5
20251122,2025-11-22,2025,11,2025-11,22,6
20251123,2025-11-23,2025,11,2025-11,23,0
20251124,2025-11-24,2025,11,2025-11,24,1
20251125,2025-11-25,2025,11,2025-11,25,2
20251126,2025-11-26,2025,11,2025-11,26,3
20251127,2025-11-27,2025,11,2025-11,27,4
20251128,2025-11-28,2025,11,2025-11,28,5
20251129,2025-11-29,2025,11,2025-11,29,6
20251130,2025-11-30,2025,11,2025-11,30,0
20251201,2025-12-01,2025,12,2025-12,1,1
20251202,2025-12-02,2025,12,2025-12,2,2
20251203,2025-12-03,2025,12,2025-12,3,3
20251204,2025-12-04,2025,12,2025-12,4,4
20251205,2025-12-05,2025,12,2025-12,5,5
20251206,2025-12-06,2025,12,2025-12,6,6
20251207,2025-12-07,2025,12,2025-12,7,0
20251208,2025-12-08,2025,12,2025-12,8,1
20251209,2025-12-09,2025,12,2025-12,9,2
20251210,2025-12-10,2025,12,2025-12,10,3
20251211,2025-12-11,2025,12,2025-12,11,4
20251212,2025-12-12,2025,12,2025-12,12,5
20251213,2025-12-13,2025,12,2025-12,13,6
20251214,2025-12-14,2025,12,2025-12,14,0
20251215,2025-12-15,2025,12,2025-12,15,1
20251216,2025-12-16,2025,12,2025-12,16,2
20251217,2025-12-17,2025,12,2025-12,17,3
20251218,2025-12-18,2025,12,2025-12,18,4
20251219,2025-12-19,2025,12,2025-12,19,5
20251220,2025-12-20,2025,12,2025-12,20,6
20251221,2025-12-21,2025,12,2025-12,21,0
20251222,2025-12-22,2025,12,2025-12,22,1
20251223,2025-12-23,2025,12,2025-12,23,2
20251224,2025-12-24,2025,12,2025-12,24,3
20251225,2025-12-25,2025,12,2025-12,25,4
20251226,2025-12-26,2025,12,2025-12,26,5
20251227,2025-12-27,2025,12,2025-12,27,6
20251228,2025-12-28,2025,12,2025-12,28,0
20251229,2025-12-29,2025,12,2025-12,29,1
20251230,2025-12-30,2025,12,2025-12,30,2
20251231,2025-12-31,2025,12,2025-12,31,3
20260101,2026-01-01,2026,1,2026-01,1,4
20260102,2026-01-02,2026,1,2026-01,2,5
20260103,2026-01-03,2026,1,2026-01,3,6
20260104,2026-01-04,2026,1,2026-01,4,0
20260105,2026-01-05,2026,1,2026-01,5,1
20260106,2026-01-06,2026,1,2026-01,6,2
20260107,2026-01-07,2026,1,2026-01,7,3
20260108,2026-01-08,2026,1,2026-01,8,4
20260109,2026-01-09,2026,1,2026-01,9,5
20260110,2026-01-10,2026,1,2026-01,10,6
20260111,2026-01-11,2026,1,2026-01,11,0
20260112,2026-01-12,2026,1,2026-01,12,1
20260113,2026-01-13,2026,1,2026-01,13,2
20260114,2026-01-14,2026,1,2026-01,14,3
20260115,2026-01-15,2026,1,2026-01,15,4
20260116,2026-01-16,2026,1,2026-01,16,5
20260117,2026-01-17,2026,1,2026-01,17,6
20260118,2026-01-18,2026,1,2026-01,18,0
20260119,2026-01-19,2026,1,2026-01,19,1
20260120,2026-01-20,2026,1,2026-01,20,2
20260121,2026-01-21,2026,1,2026-01,21,3
20260122,2026-01-22,2026,1,2026-01,22,4
20260123,2026-01-23,2026,1,2026-01,23,5
20260124,2026-01-24,2026,1,2026-01,24,6
20260125,2026-01-25,2026,1,2026-01,25,0
20260126,2026-01-26,2026,1,2026-01,26,1
20260127,2026-01-27,2026,1,2026-01,27,2
20260128,2026-01-28,2026,1,2026-01,28,3
20260129,2026-01-29,2026,1,2026-01,29,4
20260130,2026-01-30,2026,1,2026-01,30,5
20260131,2026-01-31,2026,1,2026-01,31,6
20260201,2026-02-01,2026,2,2026-02,1,0
20260202,2026-02-02,2026,2,2026-02,2,1
20260203,2026-02-03,2026,2,2026-02,3,2
20260204,2026-02-04,2026,2,2026-02,4,3
20260205,2026-02-05,2026,2,2026-02,5,4
20260206,2026-02-06,2026,2,2026-02,6,5
20260207,2026-02-07,2026,2,2026-02,7,6
20260208,2026-02-08,2026,2,2026-02,8,0
20260209,2026-02-09,2026,2,2026-02,9,1
20260210,2026-02-10,2026,2,2026-02,10,2
20260211,2026-02-11,2026,2,2026-02,11,3
20260212,2026-02-12,2026,2,2026-02,12,4
20260213,2026-02-13,2026,2,2026-02,13,5
20260214,2026-02-14,2026,2,2026-02,14,6
20260215,2026-02-15,2026,2,2026-02,15,0
20260216,2026-02-16,2026,2,2026-02,16,1
20260217,2026-02-17,2026,2,2026-02,17,2
20260218,2026-02-18,2026,2,2026-02,18,3
20260219,2026-02-19,2026,2,2026-02,19,4
20260220,2026-02-20,2026,2,2026-02,20,5
20260221,2026-02-21,2026,2,2026-02,21,6
20260222,2026-02-22,2026,2,2026-02,22,0
20260223,2026-02-23,2026,2,2026-02,23,1
20260224,2026-02-24,2026,2,2026-02,24,2
20260225,2026-02-25,2026,2,2026-02,25,3
20260226,2026-02-26,2026,2,2026-02,26,4
20260227,2026-02-27,2026,2,2026-02,27,5
20260228,2026-02-28,2026,2,2026-02,28,6
20260301,2026-03-01,2026,3,2026-03,1,0
20260302,2026-03-02,2026,3,2026-03,2,1
20260303,2026-03-03,2026,3,2026-03,3,2
20260304,2026-03-04,2026,3,2026-03,4,3
20260305,2026-03-05,2026,3,2026-03,5,4
20260306,2026-03-06,2026,3,2026-03,6,5
20260307,2026-03-07,2026,3,2026-03,7,6
20260308,2026-03-08,2026,3,2026-03,8,0
20260309,2026-03-09,2026,3,2026-03,9,1
20260310,2026-03-10,2026,3,2026-03,10,2
20260311,2026-03-11,2026,3,2026-03,11,3
20260312,2026-03-12,2026,3,2026-03,12,4
20260313,2026-03-13,2026,3,2026-03,13,5
20260314,2026-03-14,2026,3,2026-03,14,6
20260315,2026-03-15,2026,3,2026-03,15,0
20260316,2026-03-16,2026,3,2026-03,16,1
20260317,2026-03-17,2026,3,2026-03,17,2
20260318,2026-03-18,2026,3,2026-03,18,3
20260319,2026-03-19,2026,3,2026-03,19,4
20260320,2026-03-20,2026,3,2026-03,20,5
20260321,2026-03-21,2026,3,2026-03,21,6
20260322,2026-03-22,2026,3,2026-03,22,0
20260323,2026-03-23,2026,3,2026-03,23,1
20260324,2026-03-24,2026,3,2026-03,24,2
20260325,2026-03-25,2026,3,2026-03,25,3
20260326,2026-03-26,2026,3,2026-03,26,4
20260327,2026-03-27,2026,3,2026-03,27,5
20260328,2026-03-28,2026,3,2026-03,28,6
20260329,2026-03-29,2026,3,2026-03,29,0
20260330,2026-03-30,2026,3,2026-03,30,1
20260331,2026-03-31,2026,3,2026-03,31,2
20260401,2026-04-01,2026,4,2026-04,1,3
20260402,2026-04-02,2026,4,2026-04,2,4
20260403,2026-04-03,2026,4,2026-04,3,5
20260404,2026-04-04,2026,4,2026-04,4,6
20260405,2026-04-05,2026,4,2026-04,5,0
20260406,2026-04-06,2026,4,2026-04,6,1
20260407,2026-04-07,2026,4,2026-04,7,2
20260408,2026-04-08,2026,4,2026-04,8,3
20260409,2026-04-09,2026,4,2026-04,9,4
20260410,2026-04-10,2026,4,2026-04,10,5
20260411,2026-04-11,2026,4,2026-04,11,6
20260412,2026-04-12,2026,4,2026-04,12,0
20260413,2026-04-13,2026,4,2026-04,13,1
20260414,2026-04-14,2026,4,2026-04,14,2
20260415,2026-04-15,2026,4,2026-04,15,3
20260416,2026-04-16,2026,4,2026-04,16,4
20260417,2026-04-17,2026,4,2026-04,17,5
20260418,2026-04-18,2026,4,2026-04,18,6
20260419,2026-04-19,2026,4,2026-04,19,0
20260420,2026-04-20,2026,4,2026-04,20,1
20260421,2026-04-21,2026,4,2026-04,21,2
